[563/1024, 22.8477425761301]
[565/1024, 759.361704533991]
[567/1024, -335.942488101864]
[569/1024, 1136.40624717696]
[571/1024, -146.975190171782]
[573/1024, 118.101118585272]
[575/1024, -42.6586307259889]
[577/1024, -37.0832298535165]
[579/1024, 44.2620399076540]
[581/1024, 258.447997527377]
[583/1024, -310.727965329789]
[585/1024, -1215.74313371450]
[587/1024, -219.227732892323]
[589/1024, -46.4863220093404]
[591/1024, 268.195428474341]
[593/1024, 114.365216608883]
[595/1024, -121.543838337839]
[597/1024, -275.585326932232]
[599/1024, 144.172166007250]
[601/1024, -197.173513944876]
[603/1024, -76.4730436909827]
[605/1024, -313.997803284180]
[607/1024, 62.9205943714564]
[609/1024, 38.0241750879851]
[611/1024, -246.593966485088]
[613/1024, -370.389868148607]
[615/1024, 388.202065112658]
[617/1024, -75.4774046223996]
[619/1024, 38.9909671078850]
[621/1024, -249.830877961258]
[623/1024, 246.864001043083]
[625/1024, -107.097568449891]
[627/1024, 16.5922819324724]
[629/1024, -143.082848022519]
[631/1024, -181.972148110580]
[633/1024, -561.839902740601]
[635/1024, 229.763734596528]
[637/1024, -97.4620527616997]
[639/1024, -9.30342730549060]
[641/1024, 114.514000256672]
[643/1024, 643.982767998918]
[645/1024, 48.4401656712564]
[647/1024, -108.783827007072]
[649/1024, -483.418629144384]
[651/1024, 26.1244179112505]
[653/1024, 505.118082689015]
[655/1024, 331.283274974709]
[657/1024, -15.2910687071230]
[659/1024, -351.284116745836]
[661/1024, 197.002942112693]
[663/1024, 128.262608958851]
[665/1024, -11.0591894540005]
[667/1024, -357.332321777325]
[669/1024, -477.033540682080]
[671/1024, 189.281545651231]
[673/1024, 165.512323203322]
[675/1024, 151.435830923148]
[677/1024, 43.5777655233217]
[679/1024, 53.3363000145861]
[681/1024, -177.074186951650]
[683/1024, 1491.06722012440]
[685/1024, 211.904450203101]
[687/1024, 500.940347149060]
[689/1024, 45.3659309991561]
[691/1024, 328.679283273608]
[693/1024, -363.538409412144]
[695/1024, -38.6893396993089]
[697/1024, -323.982049609125]
[699/1024, -9.44863404998232]
[701/1024, 313.247080650193]
[703/1024, 12.9300630155518]
[705/1024, 18.6626382698103]
[707/1024, -210.039018709439]
[709/1024, 1018.09324394313]
[711/1024, -184.978928422326]
[713/1024, -291.962094562307]
[715/1024, -108.126975538062]
[717/1024, 438.127578719705]
[719/1024, 616.391860487315]
[721/1024, 89.9640623426274]
[723/1024, 256.091859367419]
[725/1024, -72.8724446687170]
[727/1024, 149.095360620330]
[729/1024, 107.115195551766]
[731/1024, -220.570589921747]
[733/1024, 121.304978459398]
[735/1024, 92.7230048069745]
[737/1024, 67.1381043560345]
[739/1024, -74.2194654104161]
[741/1024, -133.118623101377]
[743/1024, 185.298710839784]
[745/1024, 302.206199408800]
[747/1024, -54.1416483116948]
[749/1024, -109.146122279600]
[751/1024, 968.430524742939]
[753/1024, 239.753364537388]
[755/1024, 76.2363094624094]
[757/1024, 218.887461230266]
[759/1024, -44.7643244276645]
[761/1024, -222.645228904873]
[763/1024, 560.502079248932]
[765/1024, -49.3277960443372]
[767/1024, -108.985967817465]
[769/1024, 363.985986640765]
[771/1024, -378.338701318741]
[773/1024, -52.3548877561358]
[775/1024, 54.8681841649093]
[777/1024, -127.898713059244]
[779/1024, 228.709767305073]
[781/1024, -532.256603413908]
[783/1024, -928.548210471060]
[785/1024, -261.238747639252]
[787/1024, -184.151688863723]
[789/1024, 537.895444854973]
[791/1024, 185.258512059820]
[793/1024, 101.427381586892]
[795/1024, -149.819021541547]
[797/1024, -60.8780096222413]
[799/1024, 164.176578988749]
[801/1024, 138.175016186419]
[803/1024, 273.052642137417]
[805/1024, 296.556988515313]
[807/1024, 282.377082564674]
[809/1024, 125.356251953117]
[811/1024, -296.073100920190]
[813/1024, 199.341827025424]
[815/1024, -613.919083190969]
[817/1024, -138.990580551360]
[819/1024, -1326.28387289612]
[821/1024, -84.4351635709213]
[823/1024, -46.6842980952025]
[825/1024, -59.1037641610695]
[827/1024, -280.470190208516]
[829/1024, 864.581028249456]
[831/1024, 180.374846944951]
[833/1024, 185.987317733053]
[835/1024, 114.722798034254]
[837/1024, -382.867615788894]
[839/1024, -11.6746794506794]
[841/1024, -208.214368539074]
[843/1024, -99.6334836189913]
[845/1024, 48.4041035853058]
[847/1024, -450.945468273020]
[849/1024, -39.9400492864260]
[851/1024, 143.941023187620]
[853/1024, -521.523800185979]
[855/1024, 423.331837354468]
[857/1024, 151.655668593829]
[859/1024, 229.618416733856]
[861/1024, 83.7899909335980]
[863/1024, 253.426738209720]
[865/1024, 227.084692385820]
[867/1024, 78.7652843482363]
[869/1024, 21.4867242562323]
[871/1024, 429.680971131474]
[873/1024, 177.651541145108]
[875/1024, -19.7178109201638]
[877/1024, -156.662160595828]
[879/1024, -288.870322714479]
[881/1024, 2.07530859996313]
[883/1024, -5.85633904869857]
[885/1024, 172.867581720132]
[887/1024, -24.3479049735328]
[889/1024, -51.7768289110415]
[891/1024, -454.519845692372]
[893/1024, -108.132833927721]
[895/1024, 244.679381384493]
[897/1024, 368.531492668683]
[899/1024, -202.677081004181]
[901/1024, -84.7622257082418]
[903/1024, 33.6859896665975]
[905/1024, 25.0393686994756]
[907/1024, 693.664723864672]
[909/1024, -238.808771661790]
[911/1024, -203.198943066762]
[913/1024, 92.7189462136263]
[915/1024, -152.736541032073]
[917/1024, -496.366822717735]
[919/1024, 658.538489979734]
[921/1024, 140.086443034263]
[923/1024, -91.6221189531278]
[925/1024, 59.5530136984657]
[927/1024, 404.523582579277]
[929/1024, 378.384869788768]
[931/1024, 1066.00058928610]
[933/1024, 623.303531492131]
[935/1024, 829.203771914901]
[937/1024, 257.441805617775]
[939/1024, 14.6139685772832]
[941/1024, 680.520601573726]
[943/1024, -252.581322599998]
